period_return,ISIN,assetCategory,country
0.2507507507507507,100974271034,Stock,Greece
-0.11814088075270124,AU3CB0228823,Bond,Germany
-0.050771070332924606,AU3CB0237725,Bond,Australia
0.04953572447956578,AU3CB0237881,Bond,Germany
-0.025767268675064736,AU3CB0258465,Bond,Australia
-0.21548135258428736,AU3SG0001985,Bond,Australia
-0.17450101971265408,AU3SG0002199,Bond,Australia
0.23766816143497738,BE0974271034,Stock,Belgium
-0.39738365858889124,BE0974293251,Stock,Belgium
1.58716323296355,BE0974303357,Stock,Greece
-0.7430831970668372,BMG375851091,Stock,USA
0.07280672631906326,CA037833CY47,Bond,Canada
0.16128125719907538,CA580135CD12,Bond,Canada
-0.02939513849632569,CH0106027144,MTF,Switzerland
-0.14338370807224476,CH0198251305,Stock,Greece
0.15166461159062883,CY0109232112,Stock,Greece
-0.03398058252427183,CY0109561015,Stock,Greece
0.3214285714285714,CY0109610614,Stock,Cyprus
0.4884004884004882,CY0200222111,Stock,Greece
0.5679314565483475,CY0200252118,Stock,Greece
-0.09767792559188271,DE0001102325,Bond,Germany
-0.09147915237214488,DE0001102457,Bond,Germany
0.1701229885666231,DE0001135275,Bond,Germany
-0.009059250587784007,DE0001141703,Bond,Germany
0.1417105263157894,DE0002635307,MTF,Germany
-0.042717317079339345,DE0005552004,Stock,Germany
0.31159225389994627,DE0005557508,Stock,Germany
0.09048473967684023,DE0005933931,MTF,Germany
0.21576898118105126,DE0005933949,MTF,Germany
0.14293948126801137,DE0005933956,MTF,Germany
-0.4147381986646076,DE0006047004,Stock,Germany
0.9147467233834059,DE0006599905,Stock,Germany
-0.11321048680650958,DE0007100000,Stock,Germany
0.10943915389410774,DE0007164600,Stock,Germany
0.06525220383604813,DE0008404005,Stock,Germany
-0.08700658241311665,DE000A0DEN75,Bond,Germany
0.5481603514552442,DE000A0H0728,MTF,Germany
0.3702206307034772,DE000A0H08Q4,MTF,Germany
-0.2439241017359709,DE000A0H08R2,MTF,Germany
-0.042164802673865576,DE000A0H08S0,MTF,Germany
-0.2775372358850017,DE000A0Q4R28,MTF,Germany
0.07834962622196673,DE000A14ZT85,MTF,Germany
0.04373709566414319,DE000A194DD9,Bond,Germany
0.48270532430847934,DE000A1EK0H1,MTF,Germany
0.04851580876263051,DE000A2TEDB8,Bond,Germany
-0.4617873382301504,DE000BASF111,Stock,Germany
-0.45576118707723967,DE000BAY0017,Stock,Germany
-0.1587044736390878,ES00000121G2,Bond,Spain
-0.036638376085639246,ES0000012A89,Bond,Spain
0.008251607621903023,ES0000012E85,Bond,Spain
-0.15611597384714637,ES0000012F43,Bond,Spain
-0.3940660398163556,ES0000012G00,Bond,Spain
0.04491061873241109,ES0000101768,Bond,Germany
-0.4801063439677301,ES0113900J37,Stock,Spain
0.6640637201311885,ES0144580Y14,Stock,Spain
-0.025956738768718846,ES0173516115,Stock,Spain
-0.561714076425345,ES0178430E18,Stock,Spain
-0.019074696097248878,EU000A1G0D39,Bond,Luxembourg
-0.0011885855831560432,EU000A1U9985,Bond,Germany
0.027799173727329984,EU000A1Z99E3,Bond,Germany
0.1693527756459452,FI0009000681,Stock,Finland
0.05847568988173468,FI0009003305,Stock,Finland
0.27963525835866254,FR0000120271,Stock,France
0.22895763656633217,FR0000120578,Stock,France
0.104806138933764,FR0000120628,Stock,France
1.9092416079569001,FR0000121014,Stock,France
0.2917528820573456,FR0000121501,Stock,France
-0.030927835051546504,FR0000125007,Stock,France
0.13742345737164396,FR0000125486,Stock,France
-0.13722016427766148,FR0000131104,Stock,France
-0.5968973747016706,FR0000131906,Stock,France
-0.322038567493113,FR0000133308,Stock,France
0.1821260306242638,FR0007054358,MTF,France
0.4846909300982092,FR0010315770,MTF,France
0.041678360931799,FR0010344630,MTF,France
-0.08739333883842548,FR0010344903,MTF,France
-0.027574032643274626,FR0010510800,MTF,France
-0.002838796890841433,FR0011020965,MTF,France
-0.028064803941006966,FR0011697010,Bond,France
-0.01954055670487187,FR0011993179,Bond,France
-0.011692487576731803,FR0013176336,MTF,France
-0.7153697126251211,FR0013176526,Stock,France
0.00961931706357011,FR0013220902,Bond,France
0.009274526378598713,FR0013232105,Bond,France
-0.37625161277633545,FR0013480613,Bond,France
-0.03426095832415066,FR0014003Y09,Bond,France
0.20211852775872097,GB00B15KXV33,MTF,United Kingdom
0.16860683909078578,GB00B15KY989,MTF,United Kingdom
-0.5962013556243075,GB00BH4HKS39,Stock,United Kingdom
-0.9225865558353739,GB00BN7CG237,Stock,United Kingdom
0.009599999999999831,GR0114031561,Bond,Greece
-0.08912493677288813,GR0114032577,Bond,Greece
-0.05805815672745196,GR0118019679,Bond,Greece
-0.04909999999999992,GR0118020685,Bond,Greece
0.007300000000000084,GR0124035693,Bond,Greece
-0.16590000000000005,GR0124036709,Bond,Greece
-0.23888055972013988,GR0124037715,Bond,Greece
-0.1856,GR0124038721,Bond,Greece
-0.22809999999999997,GR0128016731,Bond,Greece
-0.3833,GR0138017836,Bond,Greece
-0.0030000000000000027,GR0514024216,Bond,Greece
-0.02232400000000001,GRC1441197B3,Bond,Greece
-0.01118600000000003,GRC1451184D4,Bond,Greece
-0.0020000000000000018,GRC2451227D9,Bond,Greece
-0.11757499999999999,GRC281121BD8,Bond,Greece
-0.0025270643006329863,GRC3931176B0,Bond,Greece
-0.07290000000000008,GRC419120AD7,Bond,Greece
-0.0964824120603015,GRC422116743,Bond,Greece
