ISIN,daily_vol,assetCategory,country
100974271034,0.028501846029078938,Stock,Greece
AU3CB0228823,0.005550802603098475,Bond,Germany
AU3CB0237725,0.005263996580286522,Bond,Australia
AU3CB0237881,0.006404384701059414,Bond,Germany
AU3CB0258465,0.005501173735464778,Bond,Australia
AU3SG0001985,0.007914544992809006,Bond,Australia
AU3SG0002199,0.006983398789655092,Bond,Australia
BE0974271034,0.03237443081694413,Stock,Belgium
BE0974293251,0.021069306200745333,Stock,Belgium
BE0974303357,0.02925045779059193,Stock,Greece
BMG375851091,0.04319683874797513,Stock,USA
CA037833CY47,0.005011854871166791,Bond,Canada
CA580135CD12,0.0051345761330618064,Bond,Canada
CH0106027144,0.010225776085420907,MTF,Switzerland
CH0198251305,0.021595330311589916,Stock,Greece
CY0109232112,0.03187075006320466,Stock,Greece
CY0109561015,0.036894436851316166,Stock,Greece
CY0109610614,0.02158485559990066,Stock,Cyprus
CY0200222111,0.062439562863119066,Stock,Greece
CY0200252118,0.1034071213629847,Stock,Greece
DE0001102325,0.0007298537959617149,Bond,Germany
DE0001102457,0.0032458647384020433,Bond,Germany
DE0001135275,0.00399458636261139,Bond,Germany
DE0001141703,0.0001944291371105282,Bond,Germany
DE0002635307,0.011937280690626113,MTF,Germany
DE0005552004,0.01894988732783443,Stock,Germany
DE0005557508,0.013705419239028982,Stock,Germany
DE0005933931,0.014122019730146472,MTF,Germany
DE0005933949,0.012425332793281063,MTF,Germany
DE0005933956,0.013916029607824959,MTF,Germany
DE0006047004,0.020566947685560378,Stock,Germany
DE0006599905,0.01668515104132477,Stock,Germany
DE0007100000,0.023362464177628495,Stock,Germany
DE0007164600,0.01864234949523278,Stock,Germany
DE0008404005,0.0167017532158223,Stock,Germany
DE000A0DEN75,0.008250484247045905,Bond,Germany
DE000A0H0728,0.015180902882769,MTF,Germany
DE000A0H08Q4,0.01724811199592841,MTF,Germany
DE000A0H08R2,0.011783952860782841,MTF,Germany
DE000A0H08S0,0.022171875485323567,MTF,Germany
DE000A0Q4R28,0.014188848114665358,MTF,Germany
DE000A14ZT85,0.017449457893544983,MTF,Germany
DE000A194DD9,0.00126315419939713,Bond,Germany
DE000A1EK0H1,0.022628584438233474,MTF,Germany
DE000A2TEDB8,0.00460067668727547,Bond,Germany
DE000BASF111,0.018768558683499033,Stock,Germany
